,name,id,genres
234,Caspar Babypants,4wwj0BGZ6T61LB1jBWdo0n,"[""children's folk"", 'kindie rock']"
235,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,"['dance pop', 'neo mellow', 'pop']"
236,Rellgramz,5T1jjjtX7K42HggCC5D6Tn,[]
237,The Spinners,5fbhwqYYh4YwUoEs582mq5,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'southern soul']"
238,Tyreese,4daP1Pts8x3cyPI7KMuaKe,[]
239,Raphael Gualazzi,6hu9cUsJDFg2kUkAAjOepA,[]
240,John Moreland,5MPWTD6J1H9XqYEOb4QkdH,"['alternative country', 'new americana', 'ok indie', 'southern americana', 'tulsa indie']"
241,Belanova,3oNy8cjBtJzLC07I70sklp,"['latin arena pop', 'latin pop', 'mexican pop']"
242,Blondes,7GRJzNqBhBrhB9axaHsLlP,['nottingham indie']
243,Musiq Soulchild,3UVRliakQfa1pMWIsNuiZ8,"['contemporary r&b', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
244,Jenny & Tyler,18FojbNFtWY8HKOMVSA2K4,"['acoustic pop', 'christian indie', 'roots worship']"
245,Billy Saint,5guQZO55I4yURFwOKxjRQQ,[]
246,Boef,0Jsk5iYMr5aNjHury7blm1,['dutch hip hop']
247,Kevin Patrick McGowan,0lmJZPk3TtsYB016FhuOFP,[]
248,Savya Worldwide,6KlvCIQl77NuXfhX8BfKrE,[]
249,Susanna and the Magical Orchestra,7xcuzgehBTI4gNLwItyw9i,['melancholia']
250,Tryo,4ZP3CHz28XWVLGiaVVWuLj,"['chanson', 'chanson virale', 'french pop', 'french reggae', 'french rock']"
251,Troye Sivan,3WGpXCj9YhhfX11TToZcXP,"['australian pop', 'pop', 'viral pop']"
252,Damian Birdsey,068spQpxM8nHnaPy3tiRWd,[]
253,Chaka Demus & Pliers,6RQkaOWddQmiLLJqSgnTbm,"['funana', 'lovers rock']"
254,Radion6,2AyyZ8mU5Kmsz2ibu2FP8h,"['progressive trance', 'uplifting trance']"
255,Torus,4YlNFCrxoTfxFtZwPoGjLW,"['deconstructed club', 'new isolationism']"
256,Convexity,5yyqKaR2sQiuMm2gC83f31,[]
257,Junior Andre,4eO9fhg3LPhptayuHVwmqF,[]
258,Max Wassen,3tUS9mNjww0E2uwqbHbHz1,[]
259,The Psychedelic Furs,0O0lrN34wrcuBenkqlEDZe,"['alternative rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk']"
260,The Sweet Enoughs,04nWjOBHWrVkvyjK4PXRNy,[]
261,European Jazz Trio,4LTaFNJmsKqNvxGVhOVBXI,['jazz trio']
262,Ilta,7wpzJLl0ElNQwRRsALqUSd,"['finnish dance pop', 'finnish pop', 'iskelma']"
263,MVCA,73C7eV9oN6yGgLSu8vIO4R,['chill house']
264,Manolo Escobar,0Zt1X6eSDuttQS3JHIyCvZ,"['copla', 'musica aragonesa', 'rumba']"
265,Drew Howard,14vRqqUru4fVO5ZGxxVqSm,[]
266,Peter Bjorn and John,6u11Qbko2N2hP4lTBYjX86,"['alternative dance', 'baroque pop', 'dance-punk', 'indie rock', 'modern rock', 'new rave', 'swedish alternative rock', 'swedish indie pop']"
267,Wheatus,4mYFgEjpQT4IKOrjOUKyXu,['pop rock']
268,Minnie Mouse,0UOuBqKAookZ3EopZFlNL7,['movie tunes']
269,Spuds,5lAYp2nF7qQU1kAUoE8bKV,[]
270,Casting Crowns,6eJqAWJdd8JhAN1pQGie4r,"['ccm', 'christian alternative rock', 'christian music']"
271,Sly Johnson,24k5M16PEcrJudqAYEoLB7,['beatboxing']
272,Leftover Cuties,6PsjWl2sEsGrOrVMBEfCB6,[]
273,Popof,4f2K0RSYyxP4TUyZu1azYB,"['deep minimal techno', 'french tech house', 'french techno', 'minimal techno']"
274,LilyPon,62YRvb7ykVlnadIYogMInr,[]
275,iroha(sasaki),0ucp2eJpluVvW5qn53vIuc,['vocaloid']
276,CAL,4VmI5ZXt5FnlYIA8xHCLGH,[]
277,Tobiahs,4eHzBO6qaL2wt35kENSbTs,"['aussietronica', 'stutter house']"
278,Bert Kaempfert,2s6JabvZdqVQhfOsaxCSFX,"['ballroom', 'easy listening']"
279,Matthew Bomb,329I0J8Wn92iPTIgB7pugN,[]
280,Jodi Benson,4mmMtabvFCKA6HfmVmitNH,['movie tunes']
281,DaniLeigh,0XIKGBo9PnK1ApI5tZA60d,"['r&b', 'rap latina']"
282,Minilogue,3q7XOzzlff7iCLz2JNalDV,"['microhouse', 'minimal techno', 'swedish electronic']"
283,Girl Talk,6awzBEyEEwWHOjLox1DkLr,"['mashup', 'pittsburgh indie']"
284,Jensen McRae,11dABkjSoOjcP9p3TFSNRj,['gen z singer-songwriter']
285,Tom & Collins,1XU5MjR4kex9BGyY4UMtta,['mexican edm']
286,Charles Magnante,0UD228mAQXFZk6DarRsWyW,['accordion']
287,KAMAUU,3IAQ6JspwRCPY06WXnaguc,['downtempo bass']
288,We Were Promised Jetpacks,3gnrmLahFhVXRI9DA1MImH,"['scottish hush', 'scottish indie', 'scottish rock']"
289,The London Souls,4WcWMe4Cpwm3L6vvBBhlhM,"['electric blues', 'modern blues rock']"
290,Bronco,0VKh7CQDi9MkUvaBMoK1V0,"['grupera', 'gruperas inmortales', 'musica mexicana', 'norteno', 'ranchera']"
291,Fortuno,07QJ2IEpirIQN3dlUomBxL,[]
292,In Orbit Dubz,1D0TU3hunq8Sf0wFHy2vXC,[]
293,Shigeto,48C2RLG6w7o4jAJjCJKZM8,"['future garage', 'wonky']"
294,Honeyblood,2zCxZQIcbO3Ev8AyTxxqmm,"['bubblegrunge', 'scottish indie']"
295,Bilbao Kung-Fu,65EEOCJLWD3H3z4BLJLLG9,[]
296,Charlotte Dos Santos,0INatsTiEOX0EJimNTQjSM,"['alternative r&b', 'indie soul']"
297,Ralegh Long,1jxZMbJSBONtZQvlqH2nJ8,['pop folk']
298,Helena Paparizou,7D7k550IB6EszWmzVVCJSK,"['greek pop', 'laiko']"
299,Cap 2,5EcvKH9ezZ8NtHiQVXo6N6,[]
300,Kitschen Boy,3us25I84azA5CwbzFMB8vC,['australian indie rock']
301,Charlie Law,3nZA5AgkGuOihh1G0IZTk2,['east anglia indie']
302,Saint Etienne,1N2FgBLehaq77UEdJhCt7f,['britpop']
